time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;10.683531560919029;0.0;3;3;0;10.683531560919029;
120.04999999999532;9.462435011803969;0.0;5;5;0;9.462435011803969;
180.00000000000668;0.31507443169497246;0.0;3;3;0;0.31507443169497246;
240.00000000002032;0.3723907847767103;0.0;4;4;0;0.3723907847767103;
300.00000000003394;0.24528742796832342;0.0;4;4;0;0.24528742796832342;
360.0000000000476;0.37316283017744256;0.0;4;4;0;0.37316283017744256;
420.0000000000612;NaN;NaN;0;0;0;NaN;
480.00000000007486;40.81011209837913;0.0;1;1;0;40.81011209837913;
540.0000000000566;0.26412809910013263;0.0;2;2;0;0.26412809910013263;
600.000000000002;12.392555286834911;0.0;4;4;0;12.392555286834911;
660.0499999999474;1.044332418677305;0.0;2;2;0;1.044332418677305;
720.0499999998929;49.89373945338681;0.0;2;2;0;49.89373945338681;
780.0499999998383;0.548017967796987;0.0;2;2;0;0.548017967796987;
840.0499999997837;4.070515442975216;0.0;4;4;0;4.070515442975216;
900.0499999997292;0.698678644390332;0.0;3;3;0;0.698678644390332;
960.0499999996746;0.5237102540450616;0.0;2;2;0;0.5237102540450616;
1020.04999999962;1.023710251889142;0.0;2;2;0;1.023710251889142;
1080.0499999995654;0.42117561106334733;0.0;7;7;0;0.42117561106334733;
1140.0499999995109;12.402738073889624;0.0;4;4;0;12.402738073889624;
1200.0499999994563;11.298812303509656;0.0;6;6;0;11.298812303509656;
1260.0499999994017;0.7176358202041063;0.0;4;4;0;0.7176358202041063;
1320.0499999993472;0.4999999964557813;0.0;2;2;0;0.4999999964557813;
1380.0499999992926;1.979692378806333;0.0;4;4;0;1.979692378806333;
1440.049999999238;17.727723477076935;0.0;3;3;0;17.727723477076935;
1500.0499999991835;0.0;0.0;2;2;0;0.0;
1560.0499999991289;14.171342789756848;0.0;3;3;0;14.171342789756848;
1620.0499999990743;24.780939791735598;0.0;2;2;0;24.780939791735598;
1680.0499999990197;0.5085144440377806;0.0;4;4;0;0.5085144440377806;
1740.0499999989652;0.0;0.0;3;3;0;0.0;
1800.0499999989106;16.84083598087643;0.0;3;3;0;16.84083598087643;
1860.049999998856;0.7465682626626085;0.0;4;4;0;0.7465682626626085;
1920.0499999988015;0.664471993347024;0.0;3;3;0;0.664471993347024;
1980.049999998747;1.0370052350330197;0.0;3;3;0;1.0370052350330197;
2040.0499999986923;0.0;0.0;2;2;0;0.0;
2100.0499999988742;1.0389942204386589;0.3333333333333333;3;3;0;1.0389942204386589;
2160.0499999990925;0.27726313472522024;0.0;7;7;0;0.27726313472522024;
2220.049999999311;13.66535208402011;0.0;5;5;0;13.66535208402011;
2280.049999999529;0.16666666584140352;0.0;6;6;0;0.16666666584140352;
2340.0499999997473;0.01748319783909232;0.2;5;5;0;0.01748319783909232;
2400.0499999999656;19.17430335583227;0.0;3;3;0;19.17430335583227;
2460.0000000001837;24.416350969599378;0.0;4;4;0;24.416350969599378;
2520.000000000402;NaN;NaN;0;0;0;NaN;
2580.0000000006203;20.612979656113573;0.0;2;2;0;20.612979656113573;
2640.0000000008386;21.405526687885807;0.0;2;2;0;21.405526687885807;
2700.000000001057;0.16698839333049906;0.3333333333333333;3;3;0;0.16698839333049906;
2760.000000001275;0.23996044786695847;0.0;2;2;0;0.23996044786695847;
2820.0000000014934;0.09426611280217241;0.0;5;5;0;0.09426611280217241;
2880.0000000017117;0.16338900518853153;0.0;3;3;0;0.16338900518853153;
2940.00000000193;0.20115684218045732;0.0;5;5;0;0.20115684218045732;
3000.000000002148;7.172337845046873;0.0;6;6;0;7.172337845046873;
3060.0000000023665;9.96247822455063;0.0;5;5;0;9.96247822455063;
3120.000000002585;2.781686170191142;0.0;3;3;0;2.781686170191142;
3180.000000002803;3.092159877897765;0.14285714285714285;7;7;0;3.092159877897765;
3240.0000000030213;7.464510957657204;0.16666666666666666;6;6;0;7.464510957657204;
3300.0000000032396;0.5321128874211615;0.0;3;3;0;0.5321128874211615;
3360.000000003458;3.7009223279429655;0.0;5;5;0;3.7009223279429655;
3420.000000003676;7.454887102328914;0.0;7;7;0;7.454887102328914;
3480.0000000038945;0.2657477567302891;0.2857142857142857;7;7;0;0.2657477567302891;
3540.0000000041127;1.1258323514177708;0.1;10;10;0;1.1258323514177708;
3600.000000004331;8.652865722196184;0.0;6;6;0;8.652865722196184;
3660.0000000045493;0.44223807040672947;0.3333333333333333;3;3;0;0.44223807040672947;
3720.0000000047676;10.112321901659106;0.0;3;3;0;10.112321901659106;
3780.000000004986;10.88372656131771;0.2;5;5;0;10.88372656131771;
3840.000000005204;0.19521960679799436;0.2;5;5;0;0.19521960679799436;
3900.0000000054224;0.5;0.0;1;1;0;0.5;
3960.0000000056407;NaN;NaN;0;0;0;NaN;
4020.000000005859;0.4846937565219842;0.0;2;2;0;0.4846937565219842;
4080.0000000060772;0.24241202429425243;0.0;2;2;0;0.24241202429425243;
4140.0000000062955;28.602993714221327;0.0;5;5;0;28.602993714221327;
4200.000000006514;0.4885841837674612;0.25;8;8;0;0.4885841837674612;
4260.000000006732;5.530420133079587;0.125;8;8;0;5.530420133079587;
4320.00000000695;0.05231174390682044;0.3333333333333333;3;3;0;0.05231174390682044;
4380.000000007169;NaN;NaN;0;0;0;NaN;
4440.000000007387;NaN;NaN;0;0;0;NaN;
4500.000000007605;NaN;NaN;0;0;0;NaN;
4560.0000000078235;0.0;0.0;1;1;0;0.0;
4620.000000008042;0.1697601878105426;0.0;3;3;0;0.1697601878105426;
