time;avg_velo;frac_wait;numb_cars
60.049999999998725;21.747504732450825;0.0;2
120.04999999999532;1.016556793608098;0.0;4
180.00000000000668;0.5082783999718637;0.0;4
240.00000000002032;2.443942519771764;0.0;5
300.00000000003394;10.189483567172983;0.0;5
360.0000000000476;7.96511988882965;0.2;5
420.0000000000612;1.9367057778290575;0.25;4
480.00000000007486;6.748410375101618;0.0;6
540.0000000000566;0.2329134214478442;0.5;2
600.000000000002;0.5171117400952533;0.0;2
660.0499999999474;0.5130292002228795;0.0;2
720.0499999998929;7.077584058644717;0.14285714285714285;7
780.0499999998383;8.628136909990532;0.16666666666666666;6
840.0499999997837;1.0273127252933112;0.0;3
900.0499999997292;1.0278508828471138;0.0;3
960.0499999996746;1.0071732628973575;0.0;4
1020.04999999962;1.0070023253427651;0.0;4
1080.0499999995654;1.0295647252864821;0.0;1
1140.0499999995109;1.0111962892564799;0.0;6
1200.0499999994563;0.8285349787288503;0.16666666666666666;6
1260.0499999994017;0.9913916873410406;0.0;4
1320.0499999993472;1.0091494335673414;0.0;5
1380.0499999992926;1.0438873950295888;0.0;4
1440.049999999238;0.9986198697172608;0.0;4
1500.0499999991835;0.5332844847706738;0.25;4
1560.0499999991289;0.613286802508543;0.0;5
1620.0499999990743;0.8091418602214024;0.0;4
1680.0499999990197;0.8512923394931011;0.14285714285714285;7
1740.0499999989652;3.017693634846181;0.16666666666666666;6
1800.0499999989106;1.0295508632059194;0.0;4
1860.049999998856;0.729884354212375;0.0;4
1920.0499999988015;4.354380935469603;0.0;9
1980.049999998747;0.6918785919119926;0.1;10
2040.0499999986923;0.7163922943047556;0.0;8
2100.0499999988742;9.366424590512276;0.16666666666666666;6
2160.0499999990925;0.9890137635865497;0.0;4
2220.049999999311;1.0053404943660513;0.0;5
2280.049999999529;1.0143152307539027;0.0;5
2340.0499999997473;1.0018059702535143;0.0;3
2400.0499999999656;0.9788948133244577;0.0;5
2460.0000000001837;0.4846952295976882;0.09090909090909091;11
2520.000000000402;0.4969264585749792;0.0;2
2580.0000000006203;0.5071682475673539;0.0;3
2640.0000000008386;0.4660413057932066;0.0;2
2700.000000001057;0.4963644207542931;0.0;2
2760.000000001275;0.3461536222347327;0.0;3
2820.0000000014934;0.5053985079322916;0.0;5
2880.0000000017117;0.39167703563124756;0.1111111111111111;9
2940.00000000193;2.0295598390539786;0.0;10
3000.000000002148;0.25146062385475343;0.5;4
3060.0000000023665;0.4822743062747057;0.0;3
3120.000000002585;0.49162509082569317;0.0;3
3180.000000002803;8.330206777382669;0.0;8
3240.0000000030213;0.29512970522271575;0.4;5
3300.0000000032396;0.4301467420905814;0.14285714285714285;7
3360.000000003458;12.906458779491738;0.0;6
3420.000000003676;0.46810350360389114;0.0;1
3480.0000000038945;0.5112870004437746;0.0;1
3540.0000000041127;7.224589311426495;0.0;4
3600.000000004331;0.4933593819343621;0.0;5
3660.0000000045493;0.4822367393843239;0.0;1
3720.0000000047676;0.5434678367812599;0.0;1
3780.000000004986;0.5484469274226893;0.0;1
3840.000000005204;NaN;NaN;0
3900.0000000054224;NaN;NaN;0
3960.0000000056407;0.5;0.0;1
4020.000000005859;0.5136390614618609;0.0;1
4080.0000000060772;0.5136390614618609;0.0;1
4140.0000000062955;17.253915169916393;0.0;3
4200.000000006514;0.25;0.0;2
4260.000000006732;0.3740669953143352;0.25;4
4320.00000000695;0.25000892171183225;0.5;2
4380.000000007169;14.402966371086556;0.0;3
4440.000000007387;0.5079218537248115;0.0;2
4500.000000007605;0.5158437074496229;0.0;1
4560.0000000078235;0.4311733677811576;0.0;6
4620.000000008042;0.4311733677811576;0.0;6
4680.00000000826;0.4426240322688519;0.0;8
4740.000000008478;0.5221665634620225;0.0;5
4800.000000008697;0.5332079056686039;0.0;2
4860.000000008915;0.5208486930459822;0.0;1
4920.000000009133;0.5224953521962177;0.0;1
4980.000000009351;0.5224953521962177;0.0;1
5040.00000000957;0.5086931969311053;0.0;2
5100.000000009788;0.5268095408662455;0.0;1
5160.000000010006;0.5101278396424331;0.0;3
5220.0000000102245;0.42710830333531996;0.16666666666666666;6
5280.000000010443;0.36016242689836303;0.2857142857142857;7
5340.000000010661;0.4999427451195523;0.0;4
5400.000000010879;0.5089546013391528;0.0;2
5460.000000011098;1.3725259111336399;0.0;4
5520.000000011316;4.4675867082754115;0.16666666666666666;6
5580.000000011534;0.4295750360664105;0.14285714285714285;7
5640.0000000117525;2.302114321734419;0.0;5
5700.000000011971;0.49101337850864135;0.0;4
5760.000000012189;0.37093933829088505;0.0;4
5820.000000012407;0.5;0.0;3
5880.000000012626;0.48757041327107203;0.0;3
5940.000000012844;15.5027426290697;0.0;3
6000.000000013062;0.48505895709575525;0.0;4
6060.00000001328;0.40526727180707783;0.0;6
6120.000000013499;12.177259045908981;0.0;4
6180.000000013717;0.522064122941334;0.0;3
6240.000000013935;10.608497796719792;0.0;4
6300.000000014154;3.7484504761186064;0.0;4
6360.000000014372;0.49982222449568403;0.0;4
6420.00000001459;0.49858207072888905;0.0;4
6480.000000014808;0.3349672841011162;0.3333333333333333;3
6540.000000015027;0.3687722920119003;0.0;7
6600.000000015245;10.437461725933725;0.0;7
6660.000000015463;0.5058920005521957;0.0;3
6720.0000000156815;0.3528151269210886;0.16666666666666666;6
6780.0000000159;0.3462665725972243;0.16666666666666666;6
6840.000000016118;0.27083280653402536;0.3333333333333333;6
6900.000000016336;2.6967693936873003;0.0;5
6960.000000016555;0.5210576928749809;0.0;5
7020.000000016773;0.5443935324358224;0.0;1
